LAT,LON,YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,RH2M,T2M_MAX,T2M_MIN
5.5,-72.5,2022,2,13,7.22,5.92,70.37,25.13,15.76
6.5,-72.5,2022,2,13,7.31,5.19,78.98,18.56,8.94
2.5,-72.5,2022,2,14,7.04,4.82,89.3,29.38,22.78
3.5,-72.5,2022,2,14,7.01,4.92,73.79,32.62,23.05
4.5,-72.5,2022,2,14,6.94,5.18,56.22,35.54,24.48
5.5,-72.5,2022,2,14,7.16,4.73,69.62,24.82,15.66
6.5,-72.5,2022,2,14,7.12,4.79,78.17,19.48,8.03
2.5,-72.5,2022,2,15,7.01,6.09,87.46,29.86,23.26
3.5,-72.5,2022,2,15,6.99,6.29,72.61,32.91,22.94
4.5,-72.5,2022,2,15,6.93,6.19,60.9,35.07,24.15
5.5,-72.5,2022,2,15,7.13,4.62,77.77,22.73,16.31
6.5,-72.5,2022,2,15,7.15,4.81,83.61,16.6,9.13
2.5,-72.5,2022,2,16,7.01,6.45,86.83,29.5,23.31
3.5,-72.5,2022,2,16,7.0,6.5,66.33,34.91,22.62
4.5,-72.5,2022,2,16,6.98,6.59,58.67,35.8,23.71
5.5,-72.5,2022,2,16,7.19,5.42,76.71,23.75,15.61
6.5,-72.5,2022,2,16,7.11,5.19,80.07,18.32,8.15
2.5,-72.5,2022,2,17,7.12,4.91,85.95,28.34,22.88
3.5,-72.5,2022,2,17,7.11,4.89,69.39,31.84,23.33
4.5,-72.5,2022,2,17,6.96,5.94,61.51,34.54,24.15
5.5,-72.5,2022,2,17,7.13,5.25,75.05,25.19,15.74
6.5,-72.5,2022,2,17,7.18,4.79,80.94,18.52,8.66
2.5,-72.5,2022,2,18,6.93,5.53,81.9,30.8,22.02
3.5,-72.5,2022,2,18,6.94,5.2,64.81,35.64,22.85
4.5,-72.5,2022,2,18,6.83,4.61,54.63,36.37,24.26
5.5,-72.5,2022,2,18,6.94,3.89,71.12,25.01,15.96
6.5,-72.5,2022,2,18,7.31,5.02,77.67,19.38,7.8
2.5,-72.5,2022,2,19,6.78,4.7,85.76,28.93,23.21
3.5,-72.5,2022,2,19,6.76,4.48,65.0,34.17,24.42
4.5,-72.5,2022,2,19,6.83,3.46,56.32,34.36,24.93
5.5,-72.5,2022,2,19,7.06,2.8,74.68,23.41,16.1
6.5,-72.5,2022,2,19,7.03,3.49,82.33,18.26,8.82
2.5,-72.5,2022,2,20,6.98,5.96,82.77,29.97,21.88
3.5,-72.5,2022,2,20,6.96,5.77,55.46,35.75,22.98
4.5,-72.5,2022,2,20,6.97,6.02,48.89,36.38,24.29
5.5,-72.5,2022,2,20,7.14,4.61,64.57,25.57,15.35
6.5,-72.5,2022,2,20,7.37,5.03,76.86,18.48,7.37
2.5,-72.5,2022,2,21,7.0,6.06,81.17,30.54,22.01
3.5,-72.5,2022,2,21,6.99,5.96,50.45,35.85,23.38
4.5,-72.5,2022,2,21,6.98,5.99,45.31,36.12,23.7
5.5,-72.5,2022,2,21,7.14,4.66,63.08,24.96,15.65
6.5,-72.5,2022,2,21,7.33,5.0,75.77,18.6,7.68
2.5,-72.5,2022,2,22,6.97,6.35,80.41,31.64,21.99
3.5,-72.5,2022,2,22,7.01,6.86,55.47,36.86,22.27
4.5,-72.5,2022,2,22,6.92,6.88,48.6,37.7,23.93
5.5,-72.5,2022,2,22,7.06,5.78,64.61,26.12,14.82
6.5,-72.5,2022,2,22,7.13,4.87,77.14,18.74,7.34
2.5,-72.5,2022,2,23,6.83,5.22,82.03,30.91,23.3
3.5,-72.5,2022,2,23,6.86,5.69,64.06,35.98,24.03
4.5,-72.5,2022,2,23,6.83,6.45,51.44,37.8,25.12
5.5,-72.5,2022,2,23,6.99,5.37,65.83,27.08,15.88
6.5,-72.5,2022,2,23,6.81,4.69,78.03,19.42,8.12
2.5,-72.5,2022,2,24,6.75,3.11,88.0,29.49,23.68
3.5,-72.5,2022,2,24,6.72,2.66,72.37,31.94,24.73
4.5,-72.5,2022,2,24,6.68,3.57,59.08,35.11,25.56
5.5,-72.5,2022,2,24,6.68,2.84,73.68,24.67,17.32
6.5,-72.5,2022,2,24,6.81,3.43,79.16,19.71,9.59
2.5,-72.5,2022,2,25,6.77,4.18,88.0,28.84,23.34
3.5,-72.5,2022,2,25,6.76,4.41,68.76,34.34,24.47
4.5,-72.5,2022,2,25,6.88,3.71,57.5,35.84,24.45
5.5,-72.5,2022,2,25,7.04,4.0,73.89,24.98,16.72
6.5,-72.5,2022,2,25,7.15,4.31,77.51,19.21,9.01
2.5,-72.5,2022,2,26,7.09,2.96,90.85,28.89,23.34
3.5,-72.5,2022,2,26,7.12,3.01,85.01,29.51,24.15
4.5,-72.5,2022,2,26,7.1,3.36,73.51,32.01,24.81
5.5,-72.5,2022,2,26,7.4,4.05,82.11,24.27,16.55
6.5,-72.5,2022,2,26,7.22,4.44,84.4,17.28,9.59
2.5,-72.5,2022,2,27,6.99,2.94,94.25,27.08,23.15
3.5,-72.5,2022,2,27,6.99,2.75,88.66,27.87,23.43
4.5,-72.5,2022,2,27,6.8,3.02,82.84,29.88,23.82
5.5,-72.5,2022,2,27,6.96,2.77,88.75,22.3,16.01
6.5,-72.5,2022,2,27,7.07,2.64,88.09,16.82,9.47
2.5,-72.5,2022,2,28,6.89,4.14,90.33,28.52,22.94
3.5,-72.5,2022,2,28,6.9,4.55,84.73,28.05,22.9
4.5,-72.5,2022,2,28,6.64,3.98,79.21,29.48,23.56
5.5,-72.5,2022,2,28,6.84,3.2,84.87,22.7,15.73
6.5,-72.5,2022,2,28,7.12,3.02,85.31,17.78,9.19
2.5,-72.5,2022,3,1,6.87,4.5,85.41,30.59,20.85
3.5,-72.5,2022,3,1,6.86,4.2,76.16,32.47,21.62
4.5,-72.5,2022,3,1,6.73,4.26,69.96,33.54,23.49
5.5,-72.5,2022,3,1,6.89,3.47,81.18,24.06,16.11
6.5,-72.5,2022,3,1,7.21,3.87,87.17,16.57,8.93
2.5,-72.5,2022,3,2,7.04,3.38,90.36,29.62,23.7
3.5,-72.5,2022,3,2,7.02,3.92,77.73,33.0,23.34
4.5,-72.5,2022,3,2,7.06,3.78,68.18,35.38,24.63
5.5,-72.5,2022,3,2,7.21,3.58,79.3,25.48,16.71
6.5,-72.5,2022,3,2,7.44,2.92,86.67,16.96,8.89
2.5,-72.5,2022,3,3,7.22,2.12,91.17,28.49,23.51
3.5,-72.5,2022,3,3,7.22,3.43,83.25,29.64,23.7
4.5,-72.5,2022,3,3,7.0,4.43,82.9,29.99,24.29
5.5,-72.5,2022,3,3,7.15,4.36,90.4,21.32,16.46
6.5,-72.5,2022,3,3,7.45,4.05,87.6,16.68,9.54
2.5,-72.5,2022,3,4,7.19,4.86,90.69,29.67,22.34
3.5,-72.5,2022,3,4,7.16,4.97,81.46,30.92,22.45
4.5,-72.5,2022,3,4,7.0,5.33,75.17,32.63,22.78
5.5,-72.5,2022,3,4,7.22,3.91,79.55,25.25,16.5
6.5,-72.5,2022,3,4,7.29,3.54,84.36,18.61,8.23
2.5,-72.5,2022,3,5,7.02,5.08,92.04,28.84,23.09
3.5,-72.5,2022,3,5,6.97,4.65,85.13,29.56,23.65
4.5,-72.5,2022,3,5,7.15,5.53,78.61,30.43,24.34
5.5,-72.5,2022,3,5,7.31,5.0,85.31,23.12,17.63
6.5,-72.5,2022,3,5,7.42,4.28,87.94,16.99,9.81
2.5,-72.5,2022,3,6,7.09,5.27,95.99,26.44,23.01
3.5,-72.5,2022,3,6,7.08,5.18,87.58,28.67,23.55
4.5,-72.5,2022,3,6,7.07,4.49,77.5,32.23,23.95
5.5,-72.5,2022,3,6,7.24,3.47,83.32,23.44,16.86
6.5,-72.5,2022,3,6,7.52,2.98,85.41,17.21,9.46
2.5,-72.5,2022,3,7,7.14,5.36,87.05,28.85,22.58
3.5,-72.5,2022,3,7,7.11,5.9,79.17,31.04,22.97
4.5,-72.5,2022,3,7,7.11,5.69,73.93,32.66,23.52
5.5,-72.5,2022,3,7,7.3,4.02,83.17,22.27,16.59
6.5,-72.5,2022,3,7,7.44,3.11,86.15,16.37,9.16
2.5,-72.5,2022,3,8,7.04,5.46,87.29,29.4,21.75
3.5,-72.5,2022,3,8,7.04,5.04,78.31,32.62,21.68
4.5,-72.5,2022,3,8,6.95,5.3,66.25,34.23,23.39
5.5,-72.5,2022,3,8,7.13,4.26,76.74,22.78,17.28
6.5,-72.5,2022,3,8,7.44,4.15,82.41,17.14,9.75
2.5,-72.5,2022,3,9,6.78,5.36,86.59,29.86,22.58
3.5,-72.5,2022,3,9,6.72,5.06,79.3,31.16,23.25
4.5,-72.5,2022,3,9,6.85,5.33,71.21,32.77,24.78
5.5,-72.5,2022,3,9,7.04,4.73,80.01,23.75,16.49
6.5,-72.5,2022,3,9,7.44,4.22,83.46,16.37,8.68
2.5,-72.5,2022,3,10,6.97,5.65,88.98,29.38,23.0
3.5,-72.5,2022,3,10,6.91,5.78,78.25,31.45,23.18
4.5,-72.5,2022,3,10,6.98,6.04,71.05,33.08,23.95
5.5,-72.5,2022,3,10,7.21,4.8,81.78,23.39,16.64
6.5,-72.5,2022,3,10,7.39,3.49,87.01,15.16,8.87
2.5,-72.5,2022,3,11,6.99,5.27,90.65,29.26,22.93
3.5,-72.5,2022,3,11,6.94,5.31,82.5,30.12,23.8
4.5,-72.5,2022,3,11,6.94,5.69,75.56,31.59,23.72
5.5,-72.5,2022,3,11,7.18,4.69,83.89,23.66,16.16
6.5,-72.5,2022,3,11,7.48,3.93,89.23,15.54,7.28
2.5,-72.5,2022,3,12,7.04,5.31,88.28,29.7,24.05
3.5,-72.5,2022,3,12,7.02,4.62,85.4,30.16,23.68
4.5,-72.5,2022,3,12,6.9,4.18,83.2,28.91,24.36
5.5,-72.5,2022,3,12,6.86,4.24,88.62,20.59,16.94
6.5,-72.5,2022,3,12,7.11,4.14,88.76,14.77,6.18
2.5,-72.5,2022,3,13,7.19,1.98,95.69,25.49,22.85
3.5,-72.5,2022,3,13,7.17,3.1,87.61,28.66,23.47
4.5,-72.5,2022,3,13,7.1,3.36,86.79,28.64,22.99
5.5,-72.5,2022,3,13,7.34,3.11,84.65,22.49,16.9
6.5,-72.5,2022,3,13,7.42,4.13,86.11,17.24,8.64
